game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win
2024_01_ARI_BUF,2024,1,2024-09-08,ARI,BUF,28,34,7,0,0
2024_01_ARI_BUF,2024,1,2024-09-08,BUF,ARI,34,28,7,1,1
2024_01_BAL_KC,2024,1,2024-09-05,BAL,KC,20,27,7,0,0
2024_01_BAL_KC,2024,1,2024-09-05,KC,BAL,27,20,7,1,1
2024_01_CAR_NO,2024,1,2024-09-08,CAR,NO,10,47,7,0,0
2024_01_CAR_NO,2024,1,2024-09-08,NO,CAR,47,10,7,1,1
2024_01_DAL_CLE,2024,1,2024-09-08,CLE,DAL,17,33,7,1,0
2024_01_DAL_CLE,2024,1,2024-09-08,DAL,CLE,33,17,7,0,1
2024_01_DEN_SEA,2024,1,2024-09-08,DEN,SEA,20,26,7,0,0
2024_01_DEN_SEA,2024,1,2024-09-08,SEA,DEN,26,20,7,1,1
2024_01_GB_PHI,2024,1,2024-09-06,GB,PHI,29,34,7,0,0
2024_01_GB_PHI,2024,1,2024-09-06,PHI,GB,34,29,7,1,1
2024_01_HOU_IND,2024,1,2024-09-08,HOU,IND,29,27,7,0,1
2024_01_HOU_IND,2024,1,2024-09-08,IND,HOU,27,29,7,1,0
2024_01_JAX_MIA,2024,1,2024-09-08,JAX,MIA,17,20,7,0,0
2024_01_JAX_MIA,2024,1,2024-09-08,MIA,JAX,20,17,7,1,1
2024_01_LA_DET,2024,1,2024-09-08,DET,LA,26,20,7,1,1
2024_01_LA_DET,2024,1,2024-09-08,LA,DET,20,26,7,0,0
2024_01_LV_LAC,2024,1,2024-09-08,LAC,LV,22,10,7,1,1
2024_01_LV_LAC,2024,1,2024-09-08,LV,LAC,10,22,7,0,0
2024_01_MIN_NYG,2024,1,2024-09-08,MIN,NYG,28,6,7,0,1
2024_01_MIN_NYG,2024,1,2024-09-08,NYG,MIN,6,28,7,1,0
2024_01_NE_CIN,2024,1,2024-09-08,CIN,NE,10,16,7,1,0
2024_01_NE_CIN,2024,1,2024-09-08,NE,CIN,16,10,7,0,1
2024_01_NYJ_SF,2024,1,2024-09-09,NYJ,SF,19,32,7,0,0
2024_01_NYJ_SF,2024,1,2024-09-09,SF,NYJ,32,19,7,1,1
2024_01_PIT_ATL,2024,1,2024-09-08,ATL,PIT,10,18,7,1,0
2024_01_PIT_ATL,2024,1,2024-09-08,PIT,ATL,18,10,7,0,1
2024_01_TEN_CHI,2024,1,2024-09-08,CHI,TEN,24,17,7,1,1
2024_01_TEN_CHI,2024,1,2024-09-08,TEN,CHI,17,24,7,0,0
